,Group,OD600,Incubation time,facet
Pc+Pc Sup6,Pc+Pc Sup,0.144,60,4
RCM+Pc Sup1,RCM+Pc Sup,0.056,60,4
RCM+Pc Sup2,RCM+Pc Sup,0.057,60,4
RCM+Pc Sup3,RCM+Pc Sup,0.072,60,4
Pc+Bo Sup1,Pc+Bo Sup,0.2415,60,2
Pc+Bo Sup2,Pc+Bo Sup,0.222,60,2
Pc+Bo Sup3,Pc+Bo Sup,0.219,60,2
Pc+Bo Sup4,Pc+Bo Sup,0.2265,60,2
Pc+Bo Sup5,Pc+Bo Sup,0.2235,60,2
Pc+Bo Sup6,Pc+Bo Sup,0.2385,60,2
RCM+Bo Sup1,RCM+Bo Sup,0.067,60,2
RCM+Bo Sup2,RCM+Bo Sup,0.066,60,2
RCM+Bo Sup3,RCM+Bo Sup,0.079,60,2
Pc+Bv Sup1,Pc+Bv Sup,0.258,60,2
Pc+Bv Sup2,Pc+Bv Sup,0.2685,60,2
Pc+Bv Sup3,Pc+Bv Sup,0.228,60,2
Pc+Bv Sup4,Pc+Bv Sup,0.243,60,2
Pc+Bv Sup5,Pc+Bv Sup,0.237,60,2
Pc+Bv Sup6,Pc+Bv Sup,0.2565,60,2
RCM+Bv Sup1,RCM+Bv Sup,0.056,60,2
RCM+Bv Sup2,RCM+Bv Sup,0.056,60,2
RCM+Bv Sup3,RCM+Bv Sup,0.064,60,2
Pc+Bp Sup1,Pc+Bp Sup,0.111,60,3
Pc+Bp Sup2,Pc+Bp Sup,0.122,60,3
Pc+Bp Sup3,Pc+Bp Sup,0.103,60,3
Pc+Bp Sup4,Pc+Bp Sup,0.108,60,3
Pc+Bp Sup5,Pc+Bp Sup,0.118,60,3
Pc+Bp Sup6,Pc+Bp Sup,0.124,60,3
RCM+Bp Sup1,RCM+Bp Sup,0.054,60,3
RCM+Bp Sup2,RCM+Bp Sup,0.056,60,3
RCM+Bp Sup3,RCM+Bp Sup,0.063,60,3
Pc+Ls Sup1,Pc+Ls Sup,0.114,60,3
Pc+Ls Sup2,Pc+Ls Sup,0.127,60,3
Pc+Ls Sup3,Pc+Ls Sup,0.106,60,3
Pc+Ls Sup4,Pc+Ls Sup,0.114,60,3
Pc+Ls Sup5,Pc+Ls Sup,0.116,60,3
Pc+Ls Sup6,Pc+Ls Sup,0.117,60,3
RCM+Ls Sup1,RCM+Ls Sup,0.054,60,3
RCM+Ls Sup2,RCM+Ls Sup,0.056,60,3
RCM+Ls Sup3,RCM+Ls Sup,0.063,60,3
Pc+Po Sup1,Pc+Po Sup,0.141,60,4
Pc+Po Sup2,Pc+Po Sup,0.136,60,4
Pc+Po Sup3,Pc+Po Sup,0.135,60,4
Pc+Po Sup4,Pc+Po Sup,0.138,60,4
Pc+Po Sup5,Pc+Po Sup,0.145,60,4
Pc+Po Sup6,Pc+Po Sup,0.162,60,4
RCM+Po Sup1,RCM+Po Sup,0.056,60,4
RCM+Po Sup2,RCM+Po Sup,0.056,60,4
RCM+Po Sup3,RCM+Po Sup,0.063,60,4
Pc+RCM1,Pc,0.129,60,1
Pc+RCM2,Pc,0.128,60,1
Pc+RCM3,Pc,0.12,60,1
Pc+RCM4,Pc,0.125,60,1
Pc+RCM5,Pc,0.136,60,1
Pc+RCM6,Pc,0.138,60,1
RCM1,RCM,0.056,60,1
RCM2,RCM,0.056,60,1
RCM3,RCM,0.064,60,1
