kingdom	phylum	class	order	family	genus	species
k__Viruses	p_Uroviricota	c__Caudoviricetes	o__Caudovirales	f__Myoviridae	Busanvirus	Acidovorax_virus_ACP17
k__Archaea	p_Euryarchaeota				Aciduliprofundum	Aciduliprofundum_boonei
k__Archaea	p_Euryarchaeota				Aciduliprofundum	Aciduliprofundum_MAR08_339
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_baumannii
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_baylyi
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_bereziniae
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_calcoaceticus
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_chinensis
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_cumulans
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_defluvii
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_dispersus
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_equi
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_guillouiae
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_gyllenbergii
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_haemolyticus
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_indicus
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_johnsonii
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_junii
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_lactucae
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_larvae
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_lwoffii
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_nosocomialis
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_oleivorans
k__Viruses	p_Uroviricota	c__Caudoviricetes	o__Caudovirales	f__Myoviridae		Acinetobacter_phage_Ac42
k__Viruses	p_Uroviricota	c__Caudoviricetes	o__Caudovirales	f__Myoviridae		Acinetobacter_phage_Acj61
k__Viruses	p_Uroviricota	c__Caudoviricetes	o__Caudovirales	f__Myoviridae		Acinetobacter_phage_KARL_1
k__Viruses	p_Uroviricota	c__Caudoviricetes	o__Caudovirales	f__Myoviridae	Saclayvirus	Acinetobacter_phage_vB_AbaM_Acibel004
k__Viruses	p_Uroviricota	c__Caudoviricetes	o__Caudovirales	f__Myoviridae	Saclayvirus	Acinetobacter_phage_vB_AbaM_phiAbaA1
k__Viruses	p_Uroviricota	c__Caudoviricetes	o__Caudovirales	f__Myoviridae		Acinetobacter_phage_YMC13/03/R2096
k__Viruses	p_Uroviricota	c__Caudoviricetes	o__Caudovirales	f__Myoviridae		Acinetobacter_phage_ZZ1
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_pittii
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_radioresistens
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_schindleri
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_soli
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_10FS3_1
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_185
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_323_1
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_ACNIH1
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_ACNIH2
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_C16S1
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_dk386
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_FDAARGOS_493
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_FDAARGOS_724
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_LoGeW2_3
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_Marseille_Q1620
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_MYb10
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_NCu2D_2
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_NEB_394
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_NEB149
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_SWBY1
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_TGL_Y2
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_TTH0_4
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_WCHA45
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_WCHA55
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_WCHAc010034
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_WCHAc010052
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_tandoii
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_towneri
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_ursingii
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_venetianus
k__Viruses	p_Uroviricota	c__Caudoviricetes	o__Caudovirales	f__Myoviridae	Obolenskvirus	Acinetobacter_virus_AB2
k__Viruses	p_Uroviricota	c__Caudoviricetes	o__Caudovirales	f__Myoviridae	Saclayvirus	Acinetobacter_virus_Aci01_1
k__Viruses	p_Uroviricota	c__Caudoviricetes	o__Caudovirales	f__Myoviridae	Saclayvirus	Acinetobacter_virus_Aci05
k__Viruses	p_Uroviricota	c__Caudoviricetes	o__Caudovirales	f__Autographiviridae	Friunavirus	Acinetobacter_virus_AS11
k__Viruses	p_Uroviricota	c__Caudoviricetes	o__Caudovirales	f__Myoviridae	Metrivirus	Acinetobacter_virus_ME3
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Acinetobacter	Acinetobacter_wuhouensis
k__Viruses	p_Kitrinoviricota	c__Alsuviricetes	o__Tymovirales	f__Betaflexiviridae	Vitivirus	Actinidia_virus_A
k__Bacteria	p_Actinobacteria	c__Actinobacteria	o__Pseudonocardiales	f__Pseudonocardiaceae	Actinoalloteichus	Actinoalloteichus_fjordicus
k__Bacteria	p_Actinobacteria	c__Actinobacteria	o__Pseudonocardiales	f__Pseudonocardiaceae	Actinoalloteichus	Actinoalloteichus_hoggarensis
k__Bacteria	p_Actinobacteria	c__Actinobacteria	o__Pseudonocardiales	f__Pseudonocardiaceae	Actinoalloteichus	Actinoalloteichus_hymeniacidonis
k__Bacteria	p_Actinobacteria	c__Actinobacteria	o__Pseudonocardiales	f__Pseudonocardiaceae	Actinoalloteichus	Actinoalloteichus_GBA129_24
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	Actinobacillus	Actinobacillus_delphinicola
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	Actinobacillus	Actinobacillus_equuli
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	Actinobacillus	Actinobacillus_indolicus
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	Actinobacillus	Actinobacillus_lignieresii
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	Actinobacillus	Actinobacillus_pleuropneumoniae
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	Actinobacillus	Actinobacillus_porcitonsillarum
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	Actinobacillus	Actinobacillus_succinogenes
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	Actinobacillus	Actinobacillus_suis
k__Bacteria	p_Actinobacteria					Actinobacteria_bacterium_IMCC19121
k__Bacteria	p_Actinobacteria					Actinobacteria_bacterium_IMCC25003
k__Bacteria	p_Actinobacteria					Actinobacteria_bacterium_IMCC26077
k__Bacteria	p_Actinobacteria					Actinobacteria_bacterium_IMCC26103
k__Bacteria	p_Actinobacteria	c__Actinobacteria				Actinobacteria_bacterium_IMCC26256
k__Bacteria	p_Actinobacteria	c__Actinobacteria				Actinobacteria_bacterium_YIM_96077
k__Bacteria	p_Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	Actinobaculum	Actinobaculum_313
k__Bacteria	p_Actinobacteria	c__Actinobacteria	o__Streptosporangiales	f__Thermomonosporaceae	Actinomadura	Actinomadura_amylolytica
k__Bacteria	p_Actinobacteria	c__Actinobacteria	o__Streptosporangiales	f__Thermomonosporaceae	Actinomadura	Actinomadura_NAK00032
k__Bacteria	p_Actinobacteria	c__Actinobacteria	o__Streptosporangiales	f__Thermomonosporaceae	Actinomadura	Actinomadura_WMMA1423
k__Bacteria	p_Actinobacteria	c__Actinobacteria	o__Streptosporangiales	f__Thermomonosporaceae	Actinomadura	Actinomadura_WMMB_499
k__Bacteria	p_Actinobacteria	c__Actinobacteria	o__Streptosporangiales	f__Thermomonosporaceae	Actinomadura	Actinomadura_verrucosospora
k__Bacteria	p_Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	Actinomyces	Actinomyces_gaoshouyii
